,index,Industry,Y,assets,bea_ind_code,delta,eatr_d,eatr_e,eatr_mix,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
32,32,Nonmetallic mineral products,49.77944,116582519996.16560,3270,0.05528,0.12497,0.18821,0.16795,Manufacturing,-0.17388,0.14581,0.07064,0.10217,0.22389,0.19523,0.04430,0.06790,0.06034,corporate,0.00453,0.01520,0.01178,0.09958,0.12318,0.11562,0.48036,0.45775,0.46402
33,33,Primary metals,39.02286,186378975799.42520,3310,0.06098,0.12254,0.18404,0.16434,Manufacturing,-0.19047,0.13234,0.05633,0.08949,0.21165,0.18284,0.04368,0.06685,0.05943,corporate,0.00391,0.01415,0.01087,0.10466,0.12782,0.12040,0.58554,0.55704,0.56494
34,34,Fabricated metal products,36.46005,185026333665.73004,3320,0.07307,0.12037,0.18076,0.16142,Manufacturing,-0.20559,0.12143,0.04444,0.07792,0.20173,0.17254,0.04313,0.06602,0.05869,corporate,0.00336,0.01332,0.01013,0.11620,0.13909,0.13176,0.62014,0.59563,0.60242
35,35,Machinery,38.17436,272319888397.28802,3330,0.08052,0.11999,0.18009,0.16084,Manufacturing,-0.20828,0.11915,0.04206,0.07586,0.19966,0.17048,0.04304,0.06585,0.05854,corporate,0.00326,0.01315,0.00998,0.12356,0.14637,0.13906,0.61339,0.59327,0.59885
36,36,Computer and electronic products,26.26678,503974938260.46338,3340,0.14992,0.11503,0.17302,0.15444,Manufacturing,-0.24460,0.09454,0.01480,0.04808,0.17730,0.14688,0.04178,0.06406,0.05692,corporate,0.00201,0.01136,0.00836,0.19170,0.21398,0.20684,0.72574,0.70325,0.70949
37,37,"Electrical equipment, appliances, and components",46.30998,97409347475.05879,3350,0.06863,0.12475,0.18721,0.16720,Manufacturing,-0.17540,0.14261,0.06770,0.10101,0.22098,0.19268,0.04424,0.06765,0.06015,corporate,0.00447,0.01495,0.01159,0.11287,0.13628,0.12878,0.51716,0.49324,0.49987
38,38,"Motor vehicles, bodies and trailers, and parts",35.25214,238664334578.38879,336M,0.10965,0.11835,0.17770,0.15869,Manufacturing,-0.22011,0.11097,0.03306,0.06682,0.19223,0.16269,0.04262,0.06524,0.05800,corporate,0.00285,0.01254,0.00944,0.15227,0.17489,0.16765,0.64638,0.62709,0.63244
39,39,Other transportation equipment,49.50530,222225359206.18329,336O,0.07733,0.12599,0.18871,0.16862,Manufacturing,-0.16714,0.14740,0.07325,0.10733,0.22533,0.19749,0.04455,0.06803,0.06051,corporate,0.00478,0.01533,0.01195,0.12189,0.14536,0.13785,0.48840,0.46819,0.47379
40,40,Furniture and related products,43.14781,27298970230.41120,3370,0.06489,0.12569,0.18879,0.16857,Manufacturing,-0.16908,0.14766,0.07304,0.10585,0.22557,0.19731,0.04448,0.06805,0.06050,corporate,0.00471,0.01535,0.01194,0.10937,0.13293,0.12539,0.52685,0.49450,0.50347
41,41,Miscellaneous manufacturing,39.11052,132809342156.77454,338A,0.08377,0.12055,0.18094,0.16160,Manufacturing,-0.20437,0.12201,0.04518,0.07885,0.20227,0.17318,0.04318,0.06606,0.05873,corporate,0.00340,0.01336,0.01017,0.12695,0.14983,0.14250,0.60160,0.58116,0.58683
42,42,Oil and gas extraction,8.69835,1206378685719.62354,2110,0.07337,0.10222,0.15395,0.13739,Mining,-0.34941,0.02072,-0.06607,-0.03207,0.11023,0.07685,0.03854,0.05923,0.05260,corporate,-0.00124,0.00653,0.00404,0.11190,0.13259,0.12597,0.94869,0.94293,0.94452
43,43,"Mining, except oil and gas",31.00869,190223523014.26080,2120,0.05531,0.11392,0.17161,0.15314,Mining,-0.25305,0.08947,0.00904,0.04162,0.17269,0.14189,0.04150,0.06370,0.05659,corporate,0.00173,0.01100,0.00803,0.09681,0.11901,0.11191,0.70500,0.69076,0.69471
44,44,Support activities for mining,14.80506,120225750256.28439,2130,0.09587,0.10430,0.15706,0.14017,Mining,-0.33120,0.03357,-0.05199,-0.01815,0.12190,0.08904,0.03906,0.06001,0.05331,corporate,-0.00071,0.00732,0.00475,0.13494,0.15589,0.14918,0.90111,0.89488,0.89661
45,45,"Other services, except government",38.49273,227393671624.08221,8100,0.04298,0.12455,0.18905,0.16831,"Other services, except government",-0.17672,0.14847,0.07205,0.10000,0.22631,0.19645,0.04419,0.06811,0.06043,corporate,0.00442,0.01541,0.01187,0.08717,0.11110,0.10342,0.54407,0.48734,0.50327
46,46,Legal services,28.84422,20028299847.23765,5411,0.10067,0.12207,0.18445,0.16443,"Professional, scientific, and technical services",-0.19371,0.13366,0.05668,0.08701,0.21285,0.18314,0.04356,0.06695,0.05945,corporate,0.00379,0.01425,0.01089,0.14423,0.16762,0.16012,0.62964,0.57928,0.59325
47,47,"Miscellaneous professional, scientific, and technical services",19.64137,249009155856.58878,5412,0.14708,0.11129,0.16774,0.14965,"Professional, scientific, and technical services",-0.27350,0.07523,-0.00667,0.02598,0.15976,0.12829,0.04083,0.06272,0.05571,corporate,0.00106,0.01002,0.00715,0.18791,0.20980,0.20279,0.79378,0.77159,0.77774
48,48,Computer systems design and related services,22.08806,42903264705.68482,5415,0.20021,0.11472,0.17305,0.15435,"Professional, scientific, and technical services",-0.24698,0.09465,0.01438,0.04626,0.17740,0.14651,0.04170,0.06406,0.05690,corporate,0.00193,0.01136,0.00834,0.24191,0.26427,0.25711,0.74157,0.71025,0.71893
49,49,Real estate,84.50235,2545926908840.65576,5310,0.00522,0.13635,0.20688,0.18427,Real estate and rental and leasing,-0.10225,0.20140,0.13019,0.15696,0.27440,0.24680,0.04718,0.07263,0.06447,corporate,0.00740,0.01993,0.01591,0.05239,0.07784,0.06969,0.11545,0.09598,0.10150
50,50,Rental and leasing services and lessors of intangible assets,12.60970,248115752512.01251,5320,0.13613,0.10322,0.15554,0.13879,Real estate and rental and leasing,-0.34056,0.02734,-0.05892,-0.02531,0.11624,0.08304,0.03879,0.05963,0.05296,corporate,-0.00098,0.00693,0.00440,0.17492,0.19576,0.18909,0.91543,0.91066,0.91198
51,51,Retail trade,59.09235,1608593695005.15381,44RT,0.03643,0.13361,0.20120,0.17953,Retail trade,-0.11867,0.18527,0.11368,0.14440,0.25974,0.23250,0.04648,0.07119,0.06327,corporate,0.00671,0.01849,0.01471,0.08291,0.10762,0.09970,0.33693,0.29760,0.30851
52,52,Air transportation,14.66966,190656359022.74890,4810,0.07385,0.10830,0.16339,0.14574,Transportation and warehousing,-0.29752,0.05872,-0.02489,0.00761,0.14476,0.11251,0.04008,0.06162,0.05472,corporate,0.00031,0.00892,0.00616,0.11393,0.13547,0.12857,0.85021,0.82922,0.83504
53,53,Railroad transportation,14.87954,331352975210.21057,4820,0.03044,0.10054,0.15146,0.13517,Transportation and warehousing,-0.36443,0.01021,-0.07758,-0.04357,0.10069,0.06688,0.03811,0.05860,0.05204,corporate,-0.00166,0.00590,0.00348,0.06855,0.08904,0.08248,0.96257,0.96231,0.96238
54,54,Water transportation,17.09966,36714023796.14972,4830,0.06970,0.10622,0.16013,0.14286,Transportation and warehousing,-0.31484,0.04595,-0.03869,-0.00564,0.13315,0.10055,0.03955,0.06079,0.05399,corporate,-0.00022,0.00809,0.00543,0.10925,0.13049,0.12369,0.87537,0.86206,0.86575
55,55,Truck transportation,20.61584,108471874449.86627,4840,0.12901,0.10941,0.16491,0.14714,Transportation and warehousing,-0.28847,0.06454,-0.01830,0.01453,0.15005,0.11822,0.04036,0.06200,0.05507,corporate,0.00059,0.00930,0.00651,0.16936,0.19101,0.18408,0.80572,0.79205,0.79584
56,56,Transit and ground passenger transportation,25.85441,35034660346.86049,4850,0.08027,0.11872,0.17938,0.15991,Transportation and warehousing,-0.21742,0.11674,0.03820,0.06888,0.19747,0.16714,0.04271,0.06567,0.05831,corporate,0.00294,0.01297,0.00975,0.12299,0.14594,0.13858,0.68421,0.63988,0.65217
57,57,Pipeline transportation,8.41826,169678725932.06000,4860,0.05383,0.10223,0.15405,0.13745,Transportation and warehousing,-0.34929,0.02113,-0.06572,-0.03199,0.11060,0.07715,0.03854,0.05925,0.05262,corporate,-0.00123,0.00655,0.00406,0.09237,0.11308,0.10645,0.94970,0.94237,0.94441
58,58,Other transportation and support activities,23.59937,110872018726.73232,487S,0.06367,0.10937,0.16499,0.14717,Transportation and warehousing,-0.28883,0.06487,-0.01812,0.01426,0.15035,0.11837,0.04035,0.06202,0.05508,corporate,0.00058,0.00933,0.00652,0.10401,0.12569,0.11875,0.80805,0.79138,0.79600
59,59,Warehousing and storage,40.27303,33575803410.77195,4930,0.04356,0.12891,0.19513,0.17386,Transportation and warehousing,-0.14809,0.16729,0.09311,0.12190,0.24340,0.21469,0.04529,0.06965,0.06184,corporate,0.00552,0.01695,0.01328,0.08885,0.11321,0.10539,0.48545,0.42500,0.44176
60,60,Utilities,15.06813,2043225324419.22656,2200,0.04186,0.10063,0.15157,0.13527,Utilities,-0.36362,0.01066,-0.07707,-0.04295,0.10109,0.06733,0.03813,0.05863,0.05207,corporate,-0.00164,0.00593,0.00351,0.08000,0.10049,0.09393,0.96767,0.96596,0.96644
61,61,Wholesale trade,62.56787,973137443870.90881,4200,0.05422,0.13148,0.19695,0.17598,Wholesale trade,-0.13179,0.17276,0.10093,0.13436,0.24838,0.22146,0.04594,0.07011,0.06238,corporate,0.00617,0.01741,0.01381,0.10017,0.12434,0.11660,0.34860,0.32912,0.33452
62,62,Accommodation,57.79905,321835229078.19275,7210,0.02700,0.21479,0.19704,0.20216,Accommodation and food services,0.25947,0.18893,0.20501,0.25947,0.18893,0.20501,0.04734,0.06497,0.05985,non-corporate,0.01228,0.01228,0.01227,0.07434,0.09197,0.08685,0.31416,0.27508,0.28527
63,63,Food services and drinking places,37.79544,131618330778.79922,7220,0.05846,0.20438,0.18285,0.18907,Accommodation and food services,0.21631,0.14204,0.15897,0.21631,0.14204,0.15897,0.04473,0.06142,0.05658,non-corporate,0.00968,0.00872,0.00899,0.10319,0.11988,0.11504,0.54537,0.51078,0.51980
64,64,Administrative and support services,22.90398,87779837154.60233,5610,0.14729,0.19271,0.16700,0.17444,Administrative and waste management services,0.16158,0.08278,0.10077,0.16158,0.08278,0.10077,0.04181,0.05745,0.05291,non-corporate,0.00676,0.00476,0.00533,0.18910,0.20474,0.20020,0.74904,0.72977,0.73480
65,65,Waste management and remediation services,28.00786,45442362954.18396,5620,0.05017,0.18875,0.16156,0.16944,Administrative and waste management services,0.14123,0.06053,0.07899,0.14123,0.06053,0.07899,0.04082,0.05609,0.05166,non-corporate,0.00577,0.00340,0.00408,0.09100,0.10627,0.10184,0.80214,0.79228,0.79485
66,66,Farms,61.51678,695254770987.64246,110C,0.03338,0.20195,0.17904,0.18569,"Agriculture, forestry, fishing, and hunting",0.20554,0.12850,0.14620,0.20554,0.12850,0.14620,0.04413,0.06047,0.05573,non-corporate,0.00907,0.00777,0.00815,0.07751,0.09385,0.08911,0.44654,0.44654,0.44654
67,67,"Forestry, fishing, and related activities",80.96268,182890160759.96515,113F,0.02138,0.21064,0.19168,0.19718,"Agriculture, forestry, fishing, and hunting",0.24285,0.17185,0.18811,0.24285,0.17185,0.18811,0.04630,0.06363,0.05861,non-corporate,0.01124,0.01094,0.01102,0.06768,0.08501,0.07999,0.19492,0.19167,0.19252
68,68,"Performing arts, spectator sports, museums, and related activities",24.88765,85913620169.51553,711A,0.07655,0.19123,0.16511,0.17267,"Arts, entertainment, and recreation",0.15406,0.07518,0.09317,0.15406,0.07518,0.09317,0.04144,0.05698,0.05247,non-corporate,0.00638,0.00428,0.00489,0.11799,0.13353,0.12902,0.76939,0.75091,0.75573
69,69,"Amusements, gambling, and recreation industries",35.67483,103963170327.32812,7130,0.04082,0.19500,0.17012,0.17733,"Arts, entertainment, and recreation",0.17293,0.09511,0.11291,0.17293,0.09511,0.11291,0.04239,0.05824,0.05364,non-corporate,0.00733,0.00554,0.00606,0.08321,0.09906,0.09446,0.65106,0.63964,0.64262
70,70,Construction,61.58594,416883328406.94965,2300,0.05302,0.20417,0.18257,0.18883,Construction,0.21540,0.14107,0.15810,0.21540,0.14107,0.15810,0.04468,0.06135,0.05652,non-corporate,0.00962,0.00866,0.00894,0.09770,0.11438,0.10954,0.39132,0.38534,0.38690
71,71,Educational services,34.08224,223504365062.32428,6100,0.04403,0.20702,0.18730,0.19297,Educational services,0.22772,0.15733,0.17323,0.22772,0.15733,0.17323,0.04539,0.06254,0.05755,non-corporate,0.01034,0.00984,0.00997,0.08942,0.10657,0.10158,0.50864,0.45294,0.46747
72,72,Credit intermediation and related activities,29.58426,75859556179.73862,5220,0.10435,0.19849,0.17476,0.18162,Finance and insurance,0.18960,0.11279,0.13031,0.18960,0.11279,0.13031,0.04326,0.05940,0.05471,non-corporate,0.00820,0.00670,0.00713,0.14760,0.16374,0.15906,0.65384,0.62673,0.63380
73,73,"Securities, commodity contracts, and investments",68.67047,178435565511.13712,5230,0.04082,0.21207,0.19339,0.19879,Finance and insurance,0.24867,0.17736,0.19366,0.24867,0.17736,0.19366,0.04666,0.06406,0.05901,non-corporate,0.01160,0.01136,0.01143,0.08748,0.10488,0.09983,0.26443,0.24474,0.24987
74,74,Insurance carriers and related activities,34.29784,22117554581.34229,5240,0.10767,0.20400,0.18239,0.18863,Finance and insurance,0.21465,0.14043,0.15734,0.21465,0.14043,0.15734,0.04464,0.06131,0.05647,non-corporate,0.00958,0.00861,0.00888,0.15231,0.16898,0.16414,0.56543,0.52802,0.53778
75,75,"Funds, trusts, and other financial vehicles",58.69939,32975922704.02256,5250,0.01910,0.21563,0.19846,0.20340,Finance and insurance,0.26274,0.19334,0.20912,0.26274,0.19334,0.20912,0.04755,0.06533,0.06016,non-corporate,0.01249,0.01263,0.01258,0.06666,0.08443,0.07927,0.28890,0.24539,0.25674
76,76,Ambulatory health care services,26.88893,165185547973.71588,6210,0.07665,0.19975,0.17680,0.18342,Health care and social assistance,0.19548,0.12035,0.13743,0.19548,0.12035,0.13743,0.04358,0.05991,0.05516,non-corporate,0.00852,0.00721,0.00758,0.12023,0.13656,0.13182,0.65156,0.61407,0.62385
77,77,Hospitals,33.25928,468740246235.20782,622H,0.05080,0.20434,0.18356,0.18954,Health care and social assistance,0.21616,0.14453,0.16073,0.21616,0.14453,0.16073,0.04472,0.06160,0.05670,non-corporate,0.00967,0.00890,0.00911,0.09553,0.11240,0.10750,0.54488,0.49662,0.50921
78,78,Nursing and residential care facilities,30.33509,44969311542.03897,6230,0.04907,0.20414,0.18311,0.18916,Health care and social assistance,0.21528,0.14294,0.15932,0.21528,0.14294,0.15932,0.04467,0.06149,0.05660,non-corporate,0.00962,0.00879,0.00902,0.09374,0.11056,0.10567,0.57359,0.52432,0.53717
79,79,Social assistance,36.92941,33500693280.97236,6240,0.04961,0.20452,0.18338,0.18948,Health care and social assistance,0.21695,0.14388,0.16049,0.21695,0.14388,0.16049,0.04477,0.06155,0.05668,non-corporate,0.00971,0.00886,0.00910,0.09438,0.11117,0.10629,0.53678,0.49726,0.50757
80,80,Publishing industries (including software),33.44919,10531454693.98520,5110,0.12610,0.19468,0.16953,0.17682,Information,0.17135,0.09282,0.11078,0.17135,0.09282,0.11078,0.04231,0.05809,0.05351,non-corporate,0.00725,0.00539,0.00593,0.16841,0.18419,0.17961,0.67968,0.66631,0.66980
81,81,Motion picture and sound recording industries,22.07241,32648570358.87631,5120,0.10064,0.18415,0.15515,0.16356,Information,0.11630,0.03288,0.05199,0.11630,0.03288,0.05199,0.03967,0.05449,0.05019,non-corporate,0.00461,0.00179,0.00261,0.14031,0.15513,0.15083,0.89126,0.88783,0.88873
82,82,Broadcasting and telecommunications,19.11518,114376654728.14319,5130,0.06871,0.18448,0.15569,0.16404,Information,0.11814,0.03527,0.05424,0.11814,0.03527,0.05424,0.03975,0.05462,0.05031,non-corporate,0.00470,0.00193,0.00273,0.10846,0.12334,0.11902,0.89140,0.88543,0.88699
83,83,Information and data processing services,17.05502,9622690881.11265,5140,0.20060,0.18703,0.15926,0.16731,Information,0.13206,0.05080,0.06938,0.13206,0.05080,0.06938,0.04039,0.05552,0.05113,non-corporate,0.00533,0.00282,0.00355,0.24100,0.25612,0.25173,0.84088,0.83099,0.83357
84,84,Management of companies and enterprises,43.27634,90403382551.37852,5500,0.07684,0.20763,0.18738,0.19322,Management of companies and enterprises,0.23033,0.15759,0.17416,0.23033,0.15759,0.17416,0.04555,0.06256,0.05762,non-corporate,0.01049,0.00986,0.01003,0.12239,0.13940,0.13446,0.47085,0.43340,0.44317
85,85,"Food, beverage, and tobacco products",48.30489,75311838089.07274,311A,0.05479,0.20512,0.18305,0.18944,Manufacturing,0.21953,0.14274,0.16036,0.21953,0.14274,0.16036,0.04492,0.06147,0.05667,non-corporate,0.00986,0.00878,0.00909,0.09971,0.11626,0.11146,0.49211,0.47406,0.47877
86,86,Textile mills and textile product mills,40.68702,7854948624.36963,313T,0.05307,0.20650,0.18504,0.19125,Manufacturing,0.22553,0.14964,0.16701,0.22553,0.14964,0.16701,0.04527,0.06197,0.05712,non-corporate,0.01021,0.00927,0.00954,0.09834,0.11504,0.11019,0.52748,0.49634,0.50446
87,87,Apparel and leather and allied products,57.59360,5338390836.40291,315A,0.03836,0.21240,0.19266,0.19837,Manufacturing,0.24997,0.17502,0.19221,0.24997,0.17502,0.19221,0.04674,0.06388,0.05890,non-corporate,0.01168,0.01118,0.01132,0.08510,0.10223,0.09726,0.36702,0.34175,0.34835
