Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,capital_accounts,inventories_net,capital_accounts_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,19252206000.0,3190456000.0,14614786000.0,6687500000.0,10633027000.0,7084228000.0,24205012000.0,29526765000.0,48550449000.0,20612706000.0
1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,10185175000.0,54881000.0,577555000.0,5286554000.0,26490018000.0,177263000.0,49887239000.0,1183150000.0,1942942000.0,874492000.0
1131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,158626000.0,41292000.0,643424000.0,0.0,869530000.0,41292000.0,1310116000.0,734587000.0,1757717000.0,1552862000.0
1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1535831000.0,1014816000.0,2555628000.0,820273000.0,3958848000.0,1330289000.0,5074858000.0,3444813000.0,5603771000.0,4341329000.0
1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4913957000.0,4125582000.0,75984852000.0,3153599000.0,245388479000.0,5414947000.0,317929943000.0,96817060000.0,219038820000.0,160282227000.0
211,2334895000.0,1360779000.0,61230846000.0,2028766000.0,219985520000.0,1671122000.0,282918827000.0,77114905000.0,174189779000.0,131035179000.0
2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,2433634000.0,2354002000.0,10323910000.0,1083088000.0,18124246000.0,3202289000.0,27128285000.0,13525601000.0,30935334000.0,20705946000.0
2121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,145428000.0,410800000.0,4430096000.0,41745000.0,7278714000.0,541535000.0,7882831000.0,6176553000.0,13913707000.0,8541102000.0
2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,996951000.0,2023862000.0,31883999000.0,494656000.0,99488170000.0,2417841000.0,159790291000.0,47383418000.0,191714136000.0,102233003000.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,13374647000.0,14197211000.0,10569281000.0,2996685000.0,36818753000.0,36296838000.0,57623083000.0,17457589000.0,37538899000.0,18869988000.0
236,9006837000.0,10510710000.0,2375675000.0,1806865000.0,18629577000.0,23665826000.0,29942626000.0,3894507000.0,11345491000.0,4727624000.0
2361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,3749877000.0,2946669000.0,3596536000.0,1008468000.0,12931657000.0,11493945000.0,22869256000.0,6381563000.0,14932610000.0,7017777000.0
2371,11183000.0,18193000.0,1004554000.0,8667000.0,1949086000.0,31727000.0,3893244000.0,1284197000.0,3823390000.0,1887065000.0
23711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2372,3654849000.0,2800558000.0,369362000.0,944192000.0,6607309000.0,11270613000.0,13871236000.0,1956496000.0,5993964000.0,1843791000.0
23721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2379,83846000.0,127918000.0,2222620000.0,55608000.0,4375262000.0,191605000.0,5104776000.0,3140870000.0,5115256000.0,3286921000.0
23799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,617933000.0,739832000.0,4597070000.0,181352000.0,5257519000.0,1137066000.0,4811201000.0,7181519000.0,11260797000.0,7124588000.0
2381,8648000.0,210641000.0,615134000.0,4282000.0,899993000.0,272566000.0,1359024000.0,865081000.0,1079097000.0,776347000.0
23811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23821,22418000.0,89319000.0,507553000.0,22418000.0,437729000.0,92531000.0,-205146000.0,716368000.0,990981000.0,702089000.0
238210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23822,35627000.0,148195000.0,811981000.0,33842000.0,1110676000.0,175543000.0,1359489000.0,938965000.0,1932884000.0,1623725000.0
238220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2383,304514000.0,113748000.0,345494000.0,6472000.0,575929000.0,127336000.0,765001000.0,750087000.0,1061108000.0,450316000.0
23831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2389,246726000.0,177929000.0,2316908000.0,114339000.0,2233193000.0,469090000.0,1532833000.0,3911017000.0,6196728000.0,3572111000.0
23891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.32.33,6120131000.0,58544161000.0,112440757000.0,3779004000.0,345041642000.0,74090131000.0,410502236000.0,141009037000.0,319186675000.0,235961434000.0
311,332910000.0,6524711000.0,10080859000.0,253018000.0,25872414000.0,8029218000.0,28717368000.0,11357253000.0,23394980000.0,18684457000.0
3111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
